date,vw_ret_d,vw_ret_x,ew_ret_d,ew_ret_x
6/15/16,-0.001711,-0.001785,0.000366,0.000301
6/16/16,0.003261,0.0031,0.001016,0.000861
6/17/16,-0.003229,-0.003234,0.00145,0.001444
6/20/16,0.005859,0.005851,0.008086,0.00806
6/21/16,0.002732,0.002647,0.001722,0.001698
6/22/16,-0.001645,-0.001654,-0.001578,-0.001619
6/23/16,0.013333,0.013321,0.014964,0.01494
6/24/16,-0.035723,-0.035723,-0.041088,-0.041088
6/27/16,-0.018012,-0.018012,-0.02658,-0.02658
6/28/16,0.017816,0.017597,0.020614,0.020316
6/29/16,0.017256,0.017125,0.019483,0.019329
6/30/16,0.013529,0.013527,0.015366,0.015361
7/1/16,0.002169,0.001983,0.00333,0.003241
7/5/16,-0.006639,-0.006708,-0.012461,-0.012478
7/6/16,0.005709,0.005371,0.006005,0.005927
7/7/16,-0.000774,-0.000878,0.0005,0.000399
7/8/16,0.015192,0.015188,0.01884,0.018835
7/11/16,0.003447,0.003447,0.004106,0.004106
7/12/16,0.006791,0.006787,0.012047,0.012043
7/13/16,0.000253,0.000157,-0.000475,-0.000553
7/14/16,0.005231,0.005208,0.004665,0.004626
7/15/16,-0.000962,-0.000962,-0.00096,-0.00096
7/18/16,0.002433,0.002394,0.002245,0.002218
7/19/16,-0.001407,-0.001431,-0.002995,-0.003003
7/20/16,0.004373,0.004251,0.004996,0.004941
7/21/16,-0.003588,-0.003603,-0.003326,-0.003338
7/22/16,0.004509,0.004505,0.006012,0.005997
7/25/16,-0.00288,-0.002886,-0.002081,-0.002092
7/26/16,0.000199,0.000169,0.004513,0.004491
7/27/16,-0.001334,-0.001373,-0.005556,-0.00564
7/28/16,0.001742,0.001654,0.002248,0.002115
7/29/16,0.001739,0.001696,0.001274,0.001255
8/1/16,-0.001183,-0.001186,-0.004572,-0.004583
8/2/16,-0.006411,-0.006435,-0.009431,-0.009457
8/3/16,0.003364,0.003061,0.006504,0.006365
8/4/16,0.000503,0.000262,-0.000434,-0.000597
8/5/16,0.008638,0.008616,0.00942,0.009386
8/8/16,-0.000817,-0.000913,-0.000073,-0.000129
8/9/16,0.000379,0.000342,-0.001242,-0.001314
8/10/16,-0.002326,-0.002725,-0.00272,-0.002933
8/11/16,0.004847,0.004718,0.007313,0.007101
8/12/16,-0.000708,-0.000761,-0.00088,-0.000946
8/15/16,0.002835,0.002718,0.005074,0.004968
8/16/16,-0.005339,-0.00551,-0.006146,-0.006212
8/17/16,0.002046,0.001798,0.001311,0.00117
8/18/16,0.002338,0.002312,0.00514,0.005057
8/19/16,-0.001407,-0.001541,0.00007,0.000017
8/22/16,-0.000531,-0.000548,-0.000852,-0.000883
8/23/16,0.001901,0.001873,0.003968,0.003905
8/24/16,-0.005186,-0.005262,-0.006743,-0.006837
8/25/16,-0.001417,-0.001435,-0.000704,-0.000748
8/26/16,-0.001507,-0.001528,-0.002713,-0.002727
8/29/16,0.005327,0.005195,0.005848,0.005691
8/30/16,-0.001856,-0.002018,-0.001881,-0.00202
8/31/16,-0.002113,-0.002297,-0.003663,-0.003864
9/1/16,0.000062,0.000051,-0.000988,-0.000993
9/2/16,0.004168,0.004118,0.005355,0.005301
9/6/16,0.003044,0.003023,0.001629,0.001581
9/7/16,0.000048,-0.00019,0.002385,0.002101
9/8/16,-0.002212,-0.002268,-0.001529,-0.001616
9/9/16,-0.024631,-0.024646,-0.027577,-0.027621
9/12/16,0.01485,0.014792,0.015577,0.015449
9/13/16,-0.014479,-0.014782,-0.016986,-0.0173
9/14/16,-0.000556,-0.000624,-0.00206,-0.002142
9/15/16,0.010268,0.010111,0.010193,0.01008
9/16/16,-0.003711,-0.003721,-0.004219,-0.004246
9/19/16,-0.000096,-0.00011,0.002037,0.00199
9/20/16,0.000339,0.000328,-0.002164,-0.002194
9/21/16,0.01084,0.010829,0.013395,0.013354
9/22/16,0.006607,0.006535,0.007909,0.007784
9/23/16,-0.005616,-0.005616,-0.005429,-0.005429
9/26/16,-0.008566,-0.008648,-0.007478,-0.007498
9/27/16,0.006602,0.006555,0.004799,0.004762
9/28/16,0.005421,0.0052,0.007612,0.0073
9/29/16,-0.009336,-0.009371,-0.008932,-0.008993
9/30/16,0.00802,0.008015,0.0085,0.008486
10/3/16,-0.003092,-0.003214,-0.003231,-0.003305
10/4/16,-0.004863,-0.004953,-0.006385,-0.006412
10/5/16,0.00464,0.004242,0.005793,0.005619
10/6/16,0.000282,0.000256,0.000472,0.000424
10/7/16,-0.003269,-0.003311,-0.005437,-0.005462
10/10/16,0.004571,0.004571,0.00462,0.00462
10/11/16,-0.012473,-0.01248,-0.01481,-0.014818
10/12/16,0.001211,0.001128,0.001501,0.001428
10/13/16,-0.002939,-0.002974,-0.003552,-0.003579
10/14/16,0.000234,0.000233,-0.00072,-0.000721
10/17/16,-0.003031,-0.003057,-0.003587,-0.003608
10/18/16,0.00619,0.00619,0.007137,0.007137
10/19/16,0.002284,0.002144,0.004758,0.004703
10/20/16,-0.001259,-0.001395,-0.001178,-0.001394
10/21/16,0.000169,0.000165,-0.001013,-0.001029
10/24/16,0.004968,0.004962,0.003195,0.003182
10/25/16,-0.003734,-0.003764,-0.006582,-0.006607
10/26/16,-0.001806,-0.001819,-0.000465,-0.000491
10/27/16,-0.002978,-0.003019,-0.005834,-0.005922
10/28/16,-0.003027,-0.003083,-0.000041,-0.000171
10/31/16,0.000017,0.000013,0.001631,0.001622
11/1/16,-0.006804,-0.006814,-0.007968,-0.007988
11/2/16,-0.006457,-0.006591,-0.007624,-0.007705
11/3/16,-0.004079,-0.00443,-0.003055,-0.003215
11/4/16,-0.001766,-0.001791,0.000109,0.000065
11/7/16,0.022186,0.022177,0.02195,0.021925
11/8/16,0.004279,0.003796,0.003382,0.003091
11/9/16,0.010919,0.010852,0.012447,0.012336
11/10/16,0.001676,0.001581,0.006519,0.006376
11/11/16,-0.001388,-0.001388,-0.000313,-0.000313
11/14/16,-0.000078,-0.000217,0.008004,0.007844
11/15/16,0.007828,0.007593,0.007684,0.007577
11/16/16,-0.001269,-0.001541,-0.003763,-0.00394
11/17/16,0.004581,0.004522,0.005045,0.004922
11/18/16,-0.00234,-0.002494,-0.002842,-0.002925
11/21/16,0.007546,0.00753,0.00812,0.008083
11/22/16,0.002337,0.002289,0.002888,0.002822
11/23/16,0.000806,0.000773,0.00265,0.002554
11/25/16,0.003954,0.003931,0.003461,0.003432
11/28/16,-0.00509,-0.005213,-0.005944,-0.006067
11/29/16,0.001574,0.001333,0.000297,0.000121
11/30/16,-0.002682,-0.00291,-0.000351,-0.000528
12/1/16,-0.003684,-0.003721,-0.003913,-0.003971
12/2/16,0.000426,0.000426,0.001035,0.001035
12/5/16,0.005921,0.005821,0.007943,0.007836
12/6/16,0.003436,0.00341,0.004338,0.004309
12/7/16,0.01338,0.013151,0.014231,0.013999
12/8/16,0.002241,0.002119,0.004592,0.004528
12/9/16,0.005862,0.005854,0.00267,0.002654
12/12/16,-0.001109,-0.001166,-0.004477,-0.004563
12/13/16,0.006688,0.006517,0.004433,0.004139
12/14/16,-0.008034,-0.008099,-0.010864,-0.010964
12/15/16,0.00383,0.003785,0.003084,0.00297
12/16/16,-0.001763,-0.001789,-0.001961,-0.002025
12/19/16,0.002005,0.00198,0.00136,0.001274
12/20/16,0.003783,0.003644,0.003532,0.003492
12/21/16,-0.002423,-0.002457,-0.002324,-0.002348
12/22/16,-0.001929,-0.002063,-0.00397,-0.004037
12/23/16,0.001354,0.001259,0.002096,0.002006
12/27/16,0.002297,0.002288,0.003194,0.003179
