,cik
589,1578845
590,1124198
591,896878
592,1111928
593,38777
594,927628
595,1675149
596,354190
597,804753
598,1466258
599,743316
600,1707925
601,315293
602,1163165
603,75677
604,1175454
605,30625
606,1021860
607,927653
608,833444
609,1679273
610,49071
611,12208
612,1093557
613,1126328
614,765880
615,915389
616,1087423
617,14272
618,1120193
619,821189
620,98246
621,51143
622,85961
623,45012
624,92122
625,1335258
626,96223
627,24545
628,1359841
629,1015780
630,1116132
631,899051
632,815094
633,815097
634,1341439
